Energy (eV),Energy Off (eV),Satellite Energy Off (eV),Lbeta4,Lbeta4-4s,Lbeta4-3p*,Lbeta4-4p,Lbeta4-4p*,Lbeta4-2s,Lbeta4-3d,Lbeta4-1s,Lbeta4-4d*,Lbeta4-3p,Lbeta4-2p*,Lbeta4-2p,Lbeta4-4d,Lbeta4-5s,Lbeta4-3s,Lbeta4-3d*,Lbeta3,Lbeta3-4s,Lbeta3-3p*,Lbeta3-4p,Lbeta3-4p*,Lbeta3-2s,Lbeta3-3d,Lbeta3-1s,Lbeta3-4d*,Lbeta3-2p*,Lbeta3-2p,Lbeta3-4d,Lbeta3-5s,Lbeta3-3s,Lbeta3-3d*,Lgamma5,Lgamma5-4s,Lgamma5-3p*,Lgamma5-4p,Lgamma5-4p*,Lgamma5-2s,Lgamma5-3d,Lgamma5-1s,Lgamma5-4d*,Lgamma5-3p,Lgamma5-2p*,Lgamma5-2p,Lgamma5-4d,Lgamma5-5s,Lgamma5-3s,Lgamma5-3d*,Lbeta6,Lbeta6-4s,Lbeta6-3p*,Lbeta6-4p,Lbeta6-4p*,Lbeta6-2s,Lbeta6-3d,Lbeta6-1s,Lbeta6-4d*,Lbeta6-3p,Lbeta6-2p*,Lbeta6-4d,Lbeta6-5s,Lbeta6-3s,Lbeta6-3d*,Lbeta15,Lbeta15-4s,Lbeta15-3p*,Lbeta15-4p,Lbeta15-4p*,Lbeta15-2s,Lbeta15-3d,Lbeta15-1s,Lbeta15-4d*,Lbeta15-3p,Lbeta15-2p*,Lbeta15-4d,Lbeta15-5s,Lbeta15-3s,Lbeta15-3d*,Lbeta7,Lbeta7-4s,Lbeta7-3p*,Lbeta7-4p,Lbeta7-4p*,Lbeta7-2s,Lbeta7-3d,Lbeta7-1s,Lbeta7-4d*,Lbeta7-3p,Lbeta7-2p*,Lbeta7-4d,Lbeta7-5s,Lbeta7-3s,Lbeta7-3d*,Total,Total Off,Exp Energy (eV),Intensity,Error,Residues (arb. units),std+,std-,,red chi 2
3505.6326109859933,3504.050823,3508.863835668328,0.0023178781143637747,7.179312624621865e-07,2.427161345544008e-08,3.764717522632545e-08,3.36270068689247e-08,8.666517595068251e-06,2.5941763722513073e-09,6.088750358618198e-06,3.1461730910824766e-08,2.7502792398254793e-07,7.776839185765399e-08,9.405833875235815e-08,2.9404386890669676e-08,1.1547671040097308e-06,3.7708711450027728e-06,5.523353520026207e-09,0.007341720253702199,2.1961515187993106e-06,9.798487661699604e-08,1.376950784012915e-07,4.0462790442776874e-08,6.089210095078628e-05,5.573610578379048e-09,0.00013878774967327468,1.5514358927859818e-07,2.996255767291473e-07,2.5380178080609236e-06,9.267777862823941e-08,3.485874931717263e-06,1.0641147106548207e-05,2.27806396982106e-08,7.618284238290172e-05,2.4443752531144656e-08,9.080620687064082e-10,1.3959810992718057e-09,9.509545474945183e-09,8.361495941469999e-09,2.121030533446005e-11,8.018580837506841e-10,7.598989482770678e-10,4.1106336367992523e-10,7.183749934589042e-11,2.6383090693186235e-08,6.697561704346696e-10,2.887682634309488e-08,1.8698580781436588e-08,3.0104087317765134e-11,0.0002548915850309567,1.1251595181875442e-07,2.5502628847215807e-09,2.0529048950186966e-08,3.796124612303141e-09,8.512697707781207e-07,3.601297173829767e-10,2.276538896187414e-08,5.626276484590963e-09,1.5896931309339722e-08,9.626165463051478e-09,1.5775758535875482e-09,1.2486121224402315e-07,2.139310424335168e-07,7.327277926429411e-10,0.017301718230282086,6.404868180762817e-06,2.797202867423619e-09,9.623614099917079e-08,1.35883977866115e-08,1.4848194531293953e-07,6.166516286951458e-10,5.508230284484779e-08,1.3266423461967824e-07,6.867047277705116e-08,4.127808030225627e-09,1.5501196197455937e-07,3.6410163787986397e-06,2.1332136485647462e-06,3.4214976890858555e-09,4.3115461674538005e-05,1.7342013292705954e-08,1.0486665454419327e-10,5.115841406532409e-09,4.4770172265422657e-10,1.283759926818771e-09,1.3020608989551743e-11,3.454353123524784e-10,6.186434193191774e-10,7.160346076434864e-10,3.8886205717127516e-11,2.5753749807010564e-10,1.620014991381419e-08,8.775037744663513e-09,3.035519222542898e-11,0.027590328162709878,145.45362327647263,3577.024706,149.1,12.21065108829173,-14.632762149961678,12.21065108829173,-12.21065108829173,,20.91765722616375
3505.7788512324864,3504.197063246493,3509.0100759148213,0.002312929959884439,7.163464660673548e-07,2.421472517799298e-08,3.7563701668663636e-08,3.355454502246582e-08,8.625987837495547e-06,2.5880685633272926e-09,6.096408128397279e-06,3.1391922399515996e-08,2.7416721804062486e-07,7.735630026782262e-08,9.359664112973946e-08,2.9339247237622207e-08,1.1522135320759955e-06,3.762717321052036e-06,5.50918092257626e-09,0.007320741841215597,2.1895846678372088e-06,9.764557084053369e-08,1.3728431673889798e-07,4.0340921284016654e-08,6.026456561942894e-05,5.553810999108988e-09,0.00013864759160895826,1.5467723739385988e-07,2.9634324107990276e-07,2.4960504009415358e-06,9.239966704916371e-08,3.475427993583149e-06,1.0606656886115248e-05,2.269511864123929e-08,7.639494001534292e-05,2.4507574852096146e-08,9.100349933407329e-10,1.3994403803084328e-09,9.53306568082139e-09,8.373051653106755e-09,2.125414469762774e-11,8.026444347017353e-10,7.618757556193012e-10,4.1192675294576986e-10,7.192489383522688e-11,2.6659654194725818e-08,6.715758505481531e-10,2.895349734016561e-08,1.873069339724072e-08,3.016788307227372e-11,0.00025402160091634685,1.1209897600721961e-07,2.5354589809356197e-09,2.045315913867894e-08,3.783421315118351e-09,8.421037415911694e-07,3.579430403785995e-10,2.284284801250257e-08,5.60536059890662e-09,1.580987835246055e-08,9.723209515117104e-09,1.5720334121966727e-09,1.244074989540175e-07,2.129550546584484e-07,7.283516163800577e-10,0.01752608284717544,6.4583602656676365e-06,2.810631027268658e-09,9.704983895759217e-08,1.3708083543348486e-08,1.4890278089274045e-07,6.195755052067072e-10,5.516474765629407e-08,1.3394152562248075e-07,6.903648514536705e-08,4.12692064918691e-09,1.5654739783390933e-07,3.6797822545727113e-06,2.143832464152715e-06,3.438800221468341e-09,4.351734493498722e-05,1.7447236866550585e-08,1.0526464723510167e-10,5.1471372679537985e-09,4.5045326499959044e-10,1.2865613582808805e-09,1.3070091990060835e-11,3.4590124102055203e-10,6.228483172817232e-10,7.18894127866147e-10,3.888446937444046e-11,2.5929271869396904e-10,1.6326754726673465e-08,8.809598878842439e-09,3.047395993011629e-11,0.027787694045499346,145.4538206423554,3576.974866,135.0,11.61895003862225,-28.750424617253657,11.61895003862225,-11.61895003862225,,
3505.925091478979,3504.343303492986,3509.156316161314,0.0023079976275471635,7.147669071413903e-07,2.4158036425191705e-08,3.7480505293047e-08,3.348231404707466e-08,8.585740926004139e-06,2.5819823125243984e-09,6.104749101308138e-06,3.132234588079877e-08,2.733106226648479e-07,7.69474729576833e-08,9.3138513516992e-08,2.927432370382347e-08,1.1496684171983248e-06,3.7545895116185007e-06,5.4950630832846005e-09,0.007299853152242395,2.1830471851721383e-06,9.730802742108879e-08,1.3687538048244595e-07,4.0219601404966406e-08,5.964652910456016e-05,5.534117690846578e-09,0.0001384303887405869,1.5421298373838218e-07,2.931136513691578e-07,2.454780498980183e-06,9.212280447236358e-08,3.465027911929207e-06,1.0572332387611707e-05,2.2610079032552493e-08,7.66079234495046e-05,2.4571647018398604e-08,9.120143506133634e-10,1.4029124593718457e-09,9.55667061963638e-09,8.384631340551372e-09,2.1298120107467716e-11,8.03431942674164e-10,7.638602769716431e-10,4.1279286443066546e-10,7.201244788088044e-11,2.694062716265248e-08,6.734029470658641e-10,2.9030473773458535e-08,1.876288896916364e-08,3.0231882017512e-11,0.0002531560544854285,1.116843056936666e-07,2.520783276282001e-09,2.0377681626090014e-08,3.770779882198736e-09,8.332434636898869e-07,3.557763922570864e-10,2.2920705523949576e-08,5.584560844794906e-09,1.5723541028624345e-08,9.821777541018477e-09,1.566520067464034e-09,1.2395624936661474e-07,2.1198665153928955e-07,7.240150493675649e-10,0.017754828224195378,6.512515932968943e-06,2.8241559658966952e-09,9.787384850602812e-08,1.3829333511789279e-08,1.4932541789210704e-07,6.225203187013256e-10,5.524737771514141e-08,1.3523734208766948e-07,6.94054368614289e-08,4.12622955659902e-09,1.5810581022849383e-07,3.7191695518727117e-06,2.1545301921127987e-06,3.456234493058697e-09,4.3924865369785746e-05,1.7553415108032404e-08,1.056649074675593e-10,5.178718312927587e-09,4.5323005048806537e-10,1.2893721863290122e-09,1.3119858319439473e-11,3.463681151014155e-10,6.270962081789667e-10,7.21770843914937e-10,3.888309694731738e-11,2.6106592947270154e-10,1.6454848017190572e-08,8.844363733652561e-09,3.0593428861786944e-11,0.02798949341940884,145.4540224417293,3576.925028,131.1,11.449890829173874,-32.668166784736115,11.449890829173874,-11.449890829173874,,
3506.071331725472,3504.489543739479,3509.302556407807,0.0023030810499914682,7.131925626500023e-07,2.410154626621117e-08,3.73975848742121e-08,3.3410312975603575e-08,8.545774242284053e-06,2.575917518443348e-09,6.1137787940783766e-06,3.1253000328245095e-08,2.724581113320173e-07,7.654187566134e-08,9.268391804517312e-08,2.9209615334710186e-08,1.1471317220898159e-06,3.746487607712226e-06,5.48099971903298e-09,0.007279053676221265,2.1765388961881988e-06,9.697223413181723e-08,1.364682588798422e-07,4.009882751253052e-08,5.903780378569516e-05,5.514529888334641e-09,0.00013813631905607593,1.5375081575183907e-07,2.8993571774203865e-07,2.414212622330074e-06,9.184718343581742e-08,3.4546744071774383e-06,1.0538172561367545e-05,2.2525517260197875e-08,7.68217976182948e-05,2.4635970333534576e-08,9.140001685012119e-10,1.4063973992866688e-09,9.58036068539919e-09,8.39623507020344e-09,2.1342232127443882e-11,8.042206099384664e-10,7.658525524713243e-10,4.136617095872482e-10,7.210016187143895e-11,2.722610339789543e-08,6.752375002925015e-10,2.9107757265766825e-08,1.879516779534304e-08,3.029608501804394e-11,0.0002522949156678422,1.1127192397302554e-07,2.506234298574186e-09,2.0302613488575296e-08,3.758199923637878e-09,8.246816810525885e-07,3.536295270410053e-10,2.299896424642148e-08,5.5638763662240894e-09,1.563791148500312e-08,9.921902309614537e-09,1.5610356164982501e-09,1.235074457114395e-07,2.1102575137123003e-07,7.19717608505875e-10,0.017988068835370505,6.567346042965424e-06,2.8377786140994483e-09,9.87083436199344e-08,1.3952174488089614e-08,1.497498666437078e-07,6.25486270398699e-10,5.533019357678573e-08,1.3655204379958803e-07,6.977735952934716e-08,4.125730280460556e-09,1.5968766107272316e-07,3.759191602158934e-06,2.1653076104556386e-06,3.4738018460189724e-09,4.433812874909655e-05,1.766055952761726e-08,1.0606745248098466e-10,5.210587981486434e-09,4.5603238632386033e-10,1.2921924539480084e-09,1.3169910150028492e-11,3.4683593715992967e-10,6.313876797892856e-10,7.24664894192352e-10,3.8882313898648193e-11,2.6285737689569365e-10,1.6584453186836318e-08,8.879333906434221e-09,3.071360457257464e-11,0.028195840274866667,145.45422878858477,3576.875191,135.9,11.65761553663527,-27.885989139751928,11.65761553663527,-11.65761553663527,,
3506.2175719719653,3504.635783985972,3509.4487966543,0.002298180160214876,7.116234096853017e-07,2.4045253775641936e-08,3.7314939193655764e-08,3.33385408459018e-08,8.50608519816644e-06,2.569874080280772e-09,6.123502976846676e-06,3.1183884721095684e-08,2.716096577349189e-07,7.613947455892375e-08,9.223281735413217e-08,2.914512118098166e-08,1.1446034096687683e-06,3.738411500906245e-06,5.466990548539289e-09,0.0072583429062149235,2.170059627563606e-06,9.663817885239699e-08,1.3606294125777742e-07,3.9978596338235126e-08,5.843820657184241e-05,5.495046833239699e-09,0.00013776582878453003,1.5329072096769333e-07,2.8680837717732915e-07,2.374349550245015e-06,9.157279653310559e-08,3.444367201830411e-06,1.050417636592807e-05,2.244142974607079e-08,7.703656748895973e-05,2.470054610948244e-08,9.159924751333364e-10,1.4098952632610477e-09,9.60413627432441e-09,8.407862908692617e-09,2.1386481323939655e-11,8.050104387707024e-10,7.678526225166131e-10,4.1453329992841975e-10,7.218803619667291e-11,2.7516179186515435e-08,6.770795508065565e-10,2.9185349450663153e-08,1.8827530175347497e-08,3.0360492943040084e-11,0.0002514381546469988,1.1086181409433859e-07,2.4918105966432672e-09,2.022795182763005e-08,3.745681052509779e-09,8.164112956610738e-07,3.5150220254940767e-10,2.307762695396715e-08,5.543306315016101e-09,1.5552981976637698e-08,1.0023617484720511e-08,1.555579858169686e-09,1.230610703777366e-07,2.10072273542752e-07,7.154588181403294e-10,0.01822592290772052,6.6228616755509345e-06,2.851499913867866e-09,9.955350193559683e-08,1.4076633827995835e-08,1.501761375545541e-07,6.284735639513139e-10,5.5413195798705007e-08,1.3788599931422767e-07,7.01522851796261e-08,4.125418497185515e-09,1.612934239823728e-07,3.79986209572273e-06,2.1761655067291607e-06,3.491503639661844e-09,4.475724333178147e-05,1.7768681808636414e-08,1.0647229967875506e-10,5.242749765138146e-09,4.5886058435895263e-10,1.2950222043734466e-09,1.3220249675074792e-11,3.4730470976967205e-10,6.357233299644341e-10,7.275764184985082e-10,3.8882319624155e-11,2.646673116847826e-10,1.6715594098316823e-08,8.914511010144299e-09,3.083449266986665e-11,0.02840685263418231,145.4544398009441,3576.825356,144.9,12.037441588643327,-18.903891456423793,12.037441588643327,-12.037441588643327,,
3506.3638122184584,3504.782024232465,3509.5950369007933,0.002293294891570576,7.100594254649526e-07,2.398915803345178e-08,3.723256703958935e-08,3.3266996700784055e-08,8.46667123520886e-06,2.563851897824934e-09,6.1339276773668984e-06,3.111499804422181e-08,2.707652357801896e-07,7.574023626968647e-08,9.178517458427596e-08,2.9080840298564267e-08,1.1420834430572984e-06,3.7303610833330172e-06,5.453035292343053e-09,0.007237720338879062,2.1636092072591357e-06,9.630584956790086e-08,1.3565941702103137e-07,3.985890463800618e-08,5.784755877337015e-05,5.475667774076259e-09,0.00013731963238138218,1.5283268701235202e-07,2.837305927424049e-07,2.335192455889984e-06,9.129963641291105e-08,3.434106020452595e-06,1.0470342767977294e-05,2.2357812945533e-08,7.725223806337314e-05,2.476537566678367e-08,9.179912987919594e-10,1.413406114889488e-09,9.627997784846615e-09,8.419514922879724e-09,2.143086826627667e-11,8.058014314525208e-10,7.698605277688762e-10,4.154076470277382e-10,7.227607124754102e-11,2.781095337824759e-08,6.789291394625675e-10,2.926325197258659e-08,1.8859976410185628e-08,3.042510666630779e-11,0.00025058574185750907,1.1045395945907807e-07,2.4775107399796857e-09,2.015369376983159e-08,3.733222884842239e-09,8.084253717208069e-07,3.4939418032713254e-10,2.315669644472795e-08,5.522849850760199e-09,1.5468744864655625e-08,1.0126957654638079e-08,1.5501525930920994e-09,1.226171059126517e-07,2.091261385183247e-07,7.112382099219764e-10,0.018468512569444984,6.679074135473429e-06,2.8653208185541285e-09,1.0040950484228476e-07,1.420273946036981e-08,1.506042411066489e-07,6.314824054799988e-10,5.54963849404698e-08,1.3923958621696942e-07,7.053024627609637e-08,4.125290026045504e-09,1.6292358463335622e-07,3.8411950933199155e-06,2.1871046781582063e-06,3.5093412507146938e-09,4.5182319935901104e-05,1.787779381039135e-08,1.0687946663008451e-10,5.275207207782876e-09,4.617149611770061e-10,1.2978614810934615e-09,1.3270879108974373e-11,3.4777443551297806e-10,6.401037668373536e-10,7.305055580481785e-10,3.8883288301502904e-11,2.664959888817106e-10,1.6848295086516062e-08,8.94989667353939e-09,3.095609881696863e-11,0.028622652699787005,145.4546556010097,3576.775523,144.9,12.037441588643327,-18.921873867964052,12.037441588643327,-12.037441588643327,,
3506.510052464951,3504.9282644789578,3509.741277147286,0.0022884251777651916,7.085005873313558e-07,2.393325812494867e-08,3.715046720689498e-08,3.3195679588000626e-08,8.427529824287937e-06,2.5578508714516037e-09,6.14505918538239e-06,3.1046339288088344e-08,2.699248195862229e-07,7.534412784522551e-08,9.13409533684973e-08,2.9016771748577312e-08,1.1395717855800142e-06,3.722336247681056e-06,5.439133672791319e-09,0.007217185474431996,2.1571874645068066e-06,9.597523436768939e-08,1.3525767565179216e-07,3.973974919195218e-08,5.726568597800443e-05,5.4563919661324235e-09,0.00013679870987676424,1.5237670160433968e-07,2.807013528703623e-07,2.29674103667906e-06,9.102769577853023e-08,3.4238905896520794e-06,1.0436670742262769e-05,2.2274663347037956e-08,7.746881437832486e-05,2.4830460334609406e-08,9.199966679134569e-10,1.4169300181556508e-09,9.651945617634482e-09,8.431191179857655e-09,2.147539352673283e-11,8.065935902711724e-10,7.71876309154623e-10,4.16284762519797e-10,7.236426741619384e-11,2.811052746791216e-08,6.80786307393362e-10,2.9341466486928888e-08,1.8892506802314737e-08,3.048992706632057e-11,0.0002497376479826582,1.1004834361949353e-07,2.463333318382296e-09,2.0079836466585653e-08,3.7208250395907115e-09,8.007171388642723e-07,3.4730522557569293e-10,2.323617554118924e-08,5.5025061407280956e-09,1.538519261452501e-08,1.023195836281911e-08,1.5447536236046102e-09,1.2217553501954142e-07,2.0818726782143148e-07,7.070553226715003e-10,0.01871596400495836,6.735994957737539e-06,2.879242293036121e-09,1.0127653757708326e-07,1.4330519901072794e-08,1.5103418785763414e-07,6.345130036100268e-10,5.5579761563752034e-08,1.4061319138917294e-07,7.091127572297257e-08,4.1253408238478495e-09,1.6457864113341685e-07,3.883205038245035e-06,2.1981259317863256e-06,3.5273160735881e-09,4.561347201154423e-05,1.7987907571321353e-08,1.0728897107191875e-10,5.307963906648563e-09,4.6459583817899006e-10,1.3007103278505277e-09,1.3321800687517734e-11,3.4824511698097387e-10,6.44529609034917e-10,7.334524554880141e-10,3.888537007564095e-11,2.683436679376626e-10,1.698258096973963e-08,8.985492541360793e-09,3.107842873377663e-11,0.02884336700668608,145.4548763153166,3576.725691,132.9,11.52822622956368,-30.939936874509414,11.52822622956368,-11.52822622956368,,
3506.656292711444,3505.074504725451,3509.887517393779,0.0022835709528564708,7.069468727508133e-07,2.3877553140742932e-08,3.7068638497080454e-08,3.3124588560206245e-08,8.388658465197772e-06,2.5518709021198497e-09,6.1569040571743135e-06,3.0977907448716056e-08,2.69088383481083e-07,7.495111676282158e-08,9.090011782424698e-08,2.8952914597298058e-08,1.1370684007626496e-06,3.7143368871914344e-06,5.425285414024409e-09,0.007196737816624203,2.15079422979856e-06,9.564632144431118e-08,1.3485770670897525e-07,3.962112680414683e-08,5.669241793078898e-05,5.437218671396096e-09,0.00013620430161057342,1.5192275255347134e-07,2.7771967065856896e-07,2.2589936395983163e-06,9.075696738738379e-08,3.4137206380622973e-06,1.0403159271520582e-05,2.219197747175939e-08,7.768630150581581e-05,2.489580145082896e-08,9.220086110893911e-10,1.4204670374352405e-09,9.675980175605425e-09,8.442891746952476e-09,2.1520057680561273e-11,8.073869175195356e-10,7.739000078676049e-10,4.1716465810062194e-10,7.245262509597938e-11,2.8415005679823427e-08,6.826510960123547e-10,2.9419994660123014e-08,1.892512165565011e-08,3.05549550262489e-11,0.0002488938439518949,1.0964495027697205e-07,2.4492769416140883e-09,2.0006377093874258e-08,3.7084871386121993e-09,7.932799944497003e-07,3.4523510708562554e-10,2.331606709043644e-08,5.482274359789806e-09,1.5302317794340476e-08,1.0338656139716341e-08,1.5393827537537865e-09,1.2173634055629642e-07,2.072555840178878e-07,7.029097022460597e-10,0.018968407617143364,6.793635913157326e-06,2.893265313884951e-09,1.0215478932252483e-07,1.4460004267222983e-08,1.5146598844145255e-07,6.375655695078972e-10,5.566332623233561e-08,1.4200721128401479e-07,7.12954068720524e-08,4.125566979838593e-09,1.6625910440733895e-07,3.9259067688672355e-06,2.20923008462019e-06,3.54542952064952e-09,4.605081571609105e-05,1.809903531223937e-08,1.0770083091086368e-10,5.3410235132463484e-09,4.675035416706504e-10,1.3035687886433114e-09,1.3373016668139563e-11,3.4871675677361847e-10,6.490014858959076e-10,7.364172549140697e-10,3.888869248983432e-11,2.7021061280500934e-10,1.711847706127435e-08,9.021300274522726e-09,3.1201488197460774e-11,0.029069126579517827,145.45510207488942,3576.675481,140.1,11.836384583140243,-23.75821892525761,11.836384583140243,-11.836384583140243,,
3506.8025329579373,3505.220744971944,3510.033757640272,0.002278732151251152,7.053982593127447e-07,2.3822042176711514e-08,3.6987079718237175e-08,3.305372267493161e-08,8.350054686255922e-06,2.545911891368056e-09,6.1694691202870745e-06,3.090970152764628e-08,2.6825590200046894e-07,7.456117091890742e-08,9.04626325457676e-08,2.8889267916128936e-08,1.1345732523307931e-06,3.7063628956545587e-06,5.411490241962234e-09,0.007176376872708814,2.1444293348752566e-06,9.531909909242753e-08,1.344594998275617e-07,3.950303430241776e-08,5.612758841789493e-05,5.418147158482721e-09,0.0001355379004278535,1.5147082776004862e-07,2.747845831881515e-07,2.221947381107118e-06,9.048744405054111e-08,3.403595896324242e-06,1.0369807346402194e-05,2.2109751873227356e-08,7.790470455334944e-05,2.4961400362076832e-08,9.240271570674901e-10,1.4240172374988055e-09,9.700101863939614e-09,8.454616691724181e-09,2.1564861306008142e-11,8.081814154961179e-10,7.759316653708725e-10,4.180473455280451e-10,7.254114468144575e-11,2.8724495055306e-08,6.845235470158099e-10,2.949883816973007e-08,1.8957821275573377e-08,3.0620191433989156e-11,0.00024805430093837583,1.0924376328043188e-07,2.4353402390651157e-09,1.9933312852008707e-08,3.696208806639799e-09,7.861075050579616e-07,3.4318359717037183e-10,2.339637396441177e-08,5.462153690331179e-09,1.522011307314452e-08,1.0447088535867585e-08,1.5340397892761102e-09,1.2129950553369893e-07,2.063310106994901e-07,6.988009014091687e-10,0.01922597819719537,6.85200901406098e-06,2.907390869534868e-09,1.0304445330707047e-07,1.4591222291830782e-08,1.518996535690034e-07,6.406403169186568e-10,5.57470795121243e-08,1.434220522118718e-07,7.168267353004167e-08,4.125964710819934e-09,1.6796549859615938e-07,3.969315531645828e-06,2.220417963776119e-06,3.563683022501356e-09,4.6494469991981645e-05,1.821118943963235e-08,1.0811506422512651e-10,5.374389734344709e-09,4.704384029517281e-10,1.306436907728447e-09,1.3424529330170238e-11,3.4918935749973106e-10,6.535200376941552e-10,7.394001018894847e-10,3.889336208236891e-11,2.7209709203122495e-10,1.7256009181267045e-08,9.057321550301964e-09,3.13252830431548e-11,0.029300067094665663,145.45533301540456,3576.625653,149.1,12.21065108829173,-14.776443436808563,12.21065108829173,-12.21065108829173,,
3506.9487732044304,3505.366985218437,3510.1799978867652,0.0022739087077026884,7.038547247288626e-07,2.376672433396076e-08,3.69057896849958e-08,3.298308099455272e-08,8.31171604391443e-06,2.5399737413097842e-09,6.182761478435222e-06,3.0841720531903586e-08,2.6742734988567604e-07,7.417425862263998e-08,9.00284625964589e-08,2.8825830781563066e-08,1.1320863042085408e-06,3.698414167406718e-06,5.397747884290307e-09,0.007156102153411759,2.138092612715585e-06,9.499355570773979e-08,1.340630447179309e-07,3.9385468538133645e-08,5.557103515410787e-05,5.399176702563338e-09,0.00013480124145584228,1.5102091521404964e-07,2.7189515086360803e-07,2.185598261324019e-06,9.021911863224105e-08,3.3935160970685686e-06,1.0336613965400998e-05,2.202798313696643e-08,7.812402866423258e-05,2.502725842382241e-08,9.260523347526979e-10,1.4275806835146719e-09,9.724311090094825e-09,8.466366081967829e-09,2.160980498433183e-11,8.089770865050829e-10,7.779713233989123e-10,4.1893283662210685e-10,7.262982656834669e-11,2.903910554346763e-08,6.864037023851823e-10,2.9577998704529495e-08,1.8990605968941937e-08,3.068563718219485e-11,0.00024721899035651224,1.088447666247234e-07,2.421521859421594e-09,1.9860640965383216e-08,3.6839896712571034e-09,7.791934072802219e-07,3.411504716015224e-10,2.3477099060176626e-08,5.442143322171846e-09,1.51385712192785e-08,1.0557294156274486e-08,1.5287245375804897e-09,1.2086501311378714e-07,2.054134724679317e-07,6.947284797032904e-10,0.019488815102481297,6.911126520155814e-06,2.9216199604565106e-09,1.0394572690859037e-07,1.4724204338830403e-08,1.5233519402881734e-07,6.43737462203956e-10,5.583102197115246e-08,1.4485813063571936e-07,7.207310996603164e-08,4.12653035647222e-09,1.6969836147107489e-07,4.013446994649325e-06,2.2316904066294512e-06,3.5820780282646344e-09,4.694455664711298e-05,1.832438254903442e-08,1.0853168926649579e-10,5.408066332964864e-09,4.734007584071525e-10,1.3093147296224215e-09,1.3476340975092353e-11,3.4966292177703303e-10,6.580859158672509e-10,7.42401143462512e-10,3.8899466080280946e-11,2.740033788551554e-10,1.739520366894114e-08,9.093558062531208e-09,3.144981916465924e-11,0.029536329047966946,145.45556927735788,3576.575826,159.0,12.609520212918492,-4.8947489736634395,12.609520212918492,-12.609520212918492,,
