Energy (eV);Energy Off (eV);Satellite Energy Off (eV);Lbeta4;Lbeta4-2s;Lbeta4-3d;Lbeta4-3s;Lbeta4-3d*;Lbeta4-2p*;Lbeta4-4d;Lbeta4-4s;Lbeta4-3p*;Lbeta4-4d*;Lbeta4-5s;Lbeta4-2p;Lbeta4-4p;Lbeta4-3p;Lbeta4-4p*;Lbeta4-1s;Lbeta3;Lbeta3-2s;Lbeta3-3d;Lbeta3-3s;Lbeta3-3d*;Lbeta3-2p*;Lbeta3-4d;Lbeta3-4s;Lbeta3-3p*;Lbeta3-4d*;Lbeta3-5s;Lbeta3-2p;Lbeta3-4p;Lbeta3-4p*;Lbeta3-1s;Lgamma5;Lgamma5-2s;Lgamma5-3d;Lgamma5-3s;Lgamma5-3d*;Lgamma5-2p*;Lgamma5-4d;Lgamma5-4s;Lgamma5-3p*;Lgamma5-4d*;Lgamma5-5s;Lgamma5-2p;Lgamma5-4p;Lgamma5-3p;Lgamma5-4p*;Lgamma5-1s;Lbeta6;Lbeta6-2s;Lbeta6-3d;Lbeta6-3s;Lbeta6-3d*;Lbeta6-2p*;Lbeta6-4d;Lbeta6-4s;Lbeta6-3p*;Lbeta6-4d*;Lbeta6-5s;Lbeta6-4p;Lbeta6-3p;Lbeta6-4p*;Lbeta6-1s;Lbeta15;Lbeta15-2s;Lbeta15-3d;Lbeta15-3s;Lbeta15-3d*;Lbeta15-2p*;Lbeta15-4d;Lbeta15-4s;Lbeta15-3p*;Lbeta15-4d*;Lbeta15-5s;Lbeta15-4p;Lbeta15-3p;Lbeta15-4p*;Lbeta15-1s;Lbeta7;Lbeta7-2s;Lbeta7-3d;Lbeta7-3s;Lbeta7-3d*;Lbeta7-2p*;Lbeta7-4d;Lbeta7-4s;Lbeta7-3p*;Lbeta7-4d*;Lbeta7-5s;Lbeta7-4p;Lbeta7-3p;Lbeta7-4p*;Lbeta7-1s;Total;Total Off;Exp Energy (eV);Intensity;Error;Residues (arb. units);std+;std-;;red chi 2
3505.6328922812795;3504.050823;3508.8749656075784;0.0023175638212095265;8.668595947049776e-06;2.5943512296e-09;3.771393108274703e-06;5.52381634383504e-09;7.779332360475682e-08;2.9405605770199603e-08;7.179686291504581e-07;2.4273885044120834e-08;3.146276053647674e-08;1.1548140856367349e-06;9.408437097657597e-08;3.764891122456176e-08;2.750685721330767e-07;3.363065920129551e-08;6.087853838048853e-06;0.0073407487834471095;6.093241469651854e-05;5.574462264066615e-09;1.0643360335146757e-05;2.2784481662692993e-08;2.9984610492604426e-07;9.26870134634804e-08;2.1963792092357963e-06;9.800177221184461e-08;1.5515698291027754e-07;3.486204561259708e-06;2.541052412818626e-06;1.3771096218639426e-07;4.0466905466881325e-08;0.0001388040222247423;7.617700765923704e-05;8.360284886505195e-09;2.1202258970923852e-11;1.8695566260212093e-08;3.009109459572107e-11;7.182257905877789e-11;6.69567297733505e-10;2.4437419210647774e-08;9.078329051645075e-10;7.596933431634476e-10;2.886856773249818e-08;2.6360170958166314e-08;1.39568112536798e-09;4.1094602169772034e-10;9.507706440874949e-09;8.017417120686513e-10;0.0002548660768931564;8.519146459506165e-07;3.601968097798469e-10;2.1399089157455486e-07;7.328522657346002e-10;9.618106398327154e-09;1.577841399451591e-09;1.1253823875802538e-07;2.5510087975395772e-09;5.627320182200616e-09;1.2488224566156217e-07;2.0533945071712072e-08;1.590147814816418e-08;3.79697316157573e-09;2.2758073843512014e-08;0.017297749448495818;1.484391601317494e-07;6.162732109748531e-10;2.13231176037509e-06;3.4190767323627064e-09;4.127387816580348e-09;1.548618102090743e-07;6.400529845496085e-06;2.7958547485547412e-09;1.3253521103959856e-07;3.637210489046376e-06;9.61651782285e-08;6.863459785677036e-08;1.3578789767586213e-08;5.507202663503792e-08;4.310488117868955e-05;1.2834566412804298e-09;1.3013473812504535e-11;8.771970118395239e-09;3.0337461108570974e-11;3.8882017529459175e-11;2.5734354650446735e-10;1.733294074207896e-08;1.0482443737538412e-10;6.181582731971804e-10;1.61864598051799e-08;5.113239680948698e-09;7.157452253377438e-10;4.474692350913859e-10;3.453754967767333e-10;0.027585087431661874;145.5554415621925;3577.024706;149.1;12.21065108829173;-14.727156677001574;12.21065108829173;-12.21065108829173;;20.922157805007224
3505.7791325277726;3504.197063246493;3509.0212058540715;0.002312616356583753;8.628049608180813e-06;2.5882424866539257e-09;3.763237535680442e-06;5.5096412358625776e-09;7.738101958414916e-08;2.934045818864106e-08;7.163836235255444e-07;2.421698660991121e-08;3.1392944130196935e-08;1.1522602052204072e-06;9.362244853070863e-08;3.756542711144818e-08;2.7420763516004403e-07;3.3558184063063477e-08;6.09546246630944e-06;0.007319773250856975;6.030423567624468e-05;5.554657051497915e-09;1.060885894272371e-05;2.2698934423411887e-08;2.965600697157376e-07;9.240884390949546e-08;2.189810967249664e-06;9.766236484012689e-08;1.5469053995805923e-07;3.475755500484271e-06;2.4990320501884442e-06;1.3730010980524976e-07;4.0345010610032233e-08;0.00013866942004485373;7.638909032539387e-05;8.371838346959346e-09;2.124607843750964e-11;1.8727671492212925e-08;3.0154857856117826e-11;7.190995156629683e-11;6.713862880384981e-10;2.45012190561548e-08;9.098051779432572e-10;7.616694318687075e-10;2.8945209517019146e-08;2.6636388955362412e-08;1.3991393635236052e-09;4.1180909930808846e-10;9.531220255041908e-09;8.025279211371425e-10;0.00025399618460970603;8.427260557991652e-07;3.5800922795223226e-10;2.1301440995436084e-07;7.28474335433402e-10;9.715031229072214e-09;1.572297319584435e-09;1.1212112446609304e-07;2.536197451399432e-09;5.606397600381301e-09;1.2442839621151187e-07;2.0458027327550687e-08;1.5814382725211082e-08;3.78426557243273e-09;2.2835498375135552e-08;0.017522069194259172;1.488598308914396e-07;6.191947850337808e-10;2.142924249904227e-06;3.436363841489462e-09;4.1264859578851325e-09;1.5639520973359563e-07;6.4539705911980915e-06;2.8092741390030397e-09;1.3381082029084302e-07;3.6759211431697123e-06;9.697803610744338e-08;6.900034847533607e-08;1.3698355849008592e-08;5.515445162178708e-08;4.350667395460823e-05;1.2862571732199925e-09;1.3062922838419701e-11;8.8065143786287e-09;3.045614209754111e-11;3.8880243258593775e-11;2.590970168171829e-10;1.7438086980072476e-08;1.0522221582024423e-10;6.223588491396577e-10;1.6312922237476986e-08;5.144513043453728e-09;7.186031778639945e-10;4.502187625788872e-10;3.45841321881906e-10;0.02778241662888151;145.55563889138972;3576.974866;135.0;11.61895003862225;-28.844810783730367;11.61895003862225;-11.61895003862225;;
3505.9253727742653;3504.343303492986;3509.167446100564;0.0023076847118353033;8.587786278780979e-06;2.5821553069726845e-09;3.7551079851216635e-06;5.495520900914343e-09;7.697198215636449e-08;2.9275526769972614e-08;7.148038564793021e-07;2.4160287752897145e-08;3.132335976138025e-08;1.1497147835589722e-06;9.3164098602427e-08;3.748222023768572e-08;2.733508103640185e-07;3.348593985505566e-08;6.1037538856519945e-06;0.00729888742903538;5.968556856521543e-05;5.53495815438818e-09;1.0574523344899409e-05;2.261386884622518e-08;2.933268588688088e-07;9.213192375390941e-08;2.183272102949906e-06;9.732472057976905e-08;1.5422619587319333e-07;3.4653533107930627e-06;2.4577089447543934e-06;1.368910834239036e-07;4.022366520860513e-08;0.00013845775519307412;7.660205873630432e-05;8.383415777351434e-09;2.1290033878886853e-11;1.8759859654537195e-08;3.021882418792563e-11;7.199748358301052e-11;6.732126912189538e-10;2.456526863589615e-08;9.117838807339465e-10;7.636532310652592e-10;2.9022156592451825e-08;2.69170092949024e-08;1.402610394758092e-09;4.1267489794948336e-10;9.554818773079283e-09;8.033152869774398e-10;0.00025313072951891436;8.338437716178458e-07;3.558416879247504e-10;2.1204551850029206e-07;7.2413603964531e-10;9.813477555394428e-09;1.5667823486705902e-09;1.1170631674525859e-07;2.5215143956699623e-09;5.58559120289563e-09;1.2397701152684045e-07;2.038252208574764e-08;1.572800343008047e-08;3.771619875216036e-09;2.2913321140297877e-08;0.01775076896005402;1.492823021784509e-07;6.22137275917717e-10;2.1536155914070857e-06;3.453782548125506e-09;4.125780700711315e-09;1.5795154704254105e-07;6.508074101764925e-06;2.822790228531057e-09;1.351049242334212e-07;3.7152520982267333e-06;9.780119193208717e-08;6.936903577210239e-08;1.3819484149948956e-08;5.52370618014171e-08;4.3914102754638863e-05;1.2890670979019179e-09;1.3112654959203473e-11;8.84126223211022e-09;3.0575523698427675e-11;3.8878816134591954e-11;2.6086845495524787e-10;1.754418698498742e-08;1.0562226027901034e-10;6.2660236334791e-10;1.6440871057547253e-08;5.176071326012807e-09;7.214783143033863e-10;4.5299350945741147e-10;3.4630809214316064e-10;0.027984178553803814;145.55584065331462;3576.925028;131.1;11.449890829173874;-32.762544562224804;11.449890829173874;-11.449890829173874;;
3506.0716130207584;3504.489543739479;3509.3136863470572;0.0023027688196135816;8.547803338588501e-06;2.5760895891241017e-09;3.747004347568925e-06;5.481455055768244e-09;7.656617702469229e-08;2.9210810559361687e-08;7.132293049707216e-07;2.410378754192953e-08;3.12540064033177e-08;1.1471777833550535e-06;9.270928328809821e-08;3.7399289377659293e-08;2.724980712080878e-07;3.341392560980808e-08;6.112733594779363e-06;0.007278090807495853;5.907622542038807e-05;5.515364807056523e-09;1.0540352491424728e-05;2.252928131707694e-08;2.9014538056044063e-07;9.185624553152387e-08;2.1767624416460008e-06;9.69888271970843e-08;1.537639380901687e-07;3.4549977124906507e-06;2.417087743726598e-06;1.3648387228564845e-07;4.010286596809241e-08;0.00013816918630821657;7.681591782459118e-05;8.395017244061462e-09;2.1334125858179706e-11;1.879213104520155e-08;3.028299445513335e-11;7.208517549737496e-11;6.750465475565102e-10;2.46295692526546e-08;9.137690414998901e-10;7.656447808683213e-10;2.9099410580664087e-08;2.720212559297539e-08;1.4060942818665228e-09;4.135434290686797e-10;9.578502388836204e-09;8.041038118594694e-10;0.00025226968155389064;8.252605245222109e-07;3.5369394350361305e-10;2.1108413543207455e-07;7.198368948451392e-10;9.913478080020024e-09;1.5612962837072597e-09;1.112937986803407e-07;2.506958156809754e-09;5.564900133208496e-09;1.2352807382718074e-07;2.030742642066222e-08;1.5642332402900948e-08;3.759035679804209e-09;2.2991544887293633e-08;0.017983963204319737;1.49706584319265e-07;6.251008846170621e-10;2.1643865621695922e-06;3.471334192741568e-09;4.125267562338332e-09;1.5953128310337785e-07;6.562851221281676e-06;2.836403947005832e-09;1.3641788193009391e-07;3.755216656594195e-06;9.863481939798611e-08;6.974069131636934e-08;1.3942201425834807e-08;5.531985772913052e-08;4.432727332968763e-05;1.2918864582895827e-09;1.316267234509852e-11;8.87621527496511e-09;3.069561145767336e-11;3.887796357511484e-11;2.626581070419898e-10;1.7651252254069615e-08;1.0602458797715902e-10;6.308894027096083e-10;1.657032962746859e-08;5.2079179647941e-09;7.243707729424686e-10;4.557937825794187e-10;3.467758101245351e-10;0.028190487161707696;145.55604696192253;3576.875191;135.9;11.65761553663527;-27.980358499787144;11.65761553663527;-11.65761553663527;;
3506.2178532672515;3504.635783985972;3509.4599265935503;0.002297868612925944;8.508098197510235e-06;2.5700452322721567e-09;3.738926514556005e-06;5.467443419039185e-09;7.616357033893396e-08;2.9146308607240217e-08;7.116599460852426e-07;2.4047485051277253e-08;3.118488303497114e-08;1.14464916751655e-06;9.225796519345363e-08;3.7316633312516566e-08;2.716493913714639e-07;3.334214036485563e-08;6.122407345513362e-06;0.007257382879375423;5.8476022837485294e-05;5.495876250750529e-09;1.0506345340271335e-05;2.2445168255783318e-08;2.870145698552137e-07;9.158180183277217e-08;2.1702818099422367e-06;9.665467256498225e-08;1.5330375413731157e-07;3.4446884279632678e-06;2.3771713433049977e-06;1.3607846571260292e-07;3.9982609618621374e-08;0.0001378041402639849;7.703067255721362e-05;8.406642813699424e-09;2.1378354941429934e-11;1.8824485963652797e-08;3.034736952633295e-11;7.217302769902848e-11;6.768878976064144e-10;2.4694122217703434e-08;9.15760688356463e-10;7.676441216539818e-10;2.9176973114296123e-08;2.749183394516019e-08;1.4095910880272884e-09;4.1441470417268217e-10;9.602271498366334e-09;8.048934980587194e-10;0.00025141301090148444;8.16969203379605e-07;3.515657522957576e-10;2.1013018006394075e-07;7.155764249610476e-10;1.0015066398488406e-08;1.5558389234545834e-09;1.1088355351038261e-07;2.4925272823187285e-09;5.544323542644126e-09;1.2308156549189633e-07;2.0232737432012322e-08;1.5557361891789064e-08;3.746512599058174e-09;2.307017238824049e-08;0.018221770138105338;1.5013268771465405e-07;6.280858145518002e-10;2.1752379490045247e-06;3.489020132934225e-09;4.1249422088686354e-09;1.611348905566535e-07;6.618313013046332e-06;2.850116235480614e-09;1.3775006119465342e-07;3.795828478561549e-06;9.947909585461227e-08;7.011534710327869e-08;1.4066534990718048e-08;5.5402839962211185e-08;4.474629391896343e-05;1.294715297596951e-09;1.3212977187230443e-11;8.911375118921252e-09;3.081641097690959e-11;3.88778868704319e-11;2.644662234258657e-10;1.775929445719695e-08;1.0642921630397108e-10;6.352205641680798e-10;1.6701321769649018e-08;5.240056447373147e-09;7.272806934640382e-10;4.5861989343889037e-10;3.4724447839878056e-10;0.028401460439361842;145.5562579352002;3576.825356;144.9;12.037441588643327;-18.99825237083371;12.037441588643327;-12.037441588643327;;
3506.3640935137446;3504.782024232465;3509.6061668400434;0.0022929840251353587;8.468668295206505e-06;2.5640221361727015e-09;3.73087437817635e-06;5.453485711164545e-09;7.576412868848779e-08;2.9082019969269084e-08;7.100957570339041e-07;2.399137936058875e-08;3.1115988640934864e-08;1.1421288991552522e-06;9.181010742534334e-08;3.723425083012223e-08;2.708047447473472e-07;3.327058316270065e-08;6.132781146987137e-06;0.007236763141403556;5.788478182255938e-05;5.476491733570487e-09;1.0472500857555e-05;2.2361526115650953e-08;2.839333879603492e-07;9.13085853032196e-08;2.163830035726146e-06;9.632224466184042e-08;1.5284563163594106e-07;3.4344251816601346e-06;2.3379610238356895e-06;1.3567485310501612e-07;3.9862892914732284e-08;0.00013736331234481157;7.724632793575663e-05;8.418292553106403e-09;2.1422721697615525e-11;1.885692471077706e-08;3.041195027474979e-11;7.226104057879705e-11;6.787367821997762e-10;2.475892885087361e-08;9.177588495721179e-10;7.696512940612588e-10;2.9254845836847296e-08;2.77862330047609e-08;1.4131008768049262e-09;4.1528873482911645e-10;9.626126499942316e-09;8.056843478562661e-10;0.00025056068799971486;8.089628591026871e-07;3.4945687563805563e-10;2.091835727873019e-07;7.113541612351239e-10;1.0118277028601158e-08;1.5504100684172705e-09;1.1047556462696869e-07;2.4782203403793765e-09;5.523860590299657e-09;1.226374690583609e-07;2.0158452244616186e-08;1.5473084251064903e-08;3.7340502487945696e-09;2.3149206439328836e-08;0.018464311873248564;1.5056062284032926e-07;6.310922716069981e-10;2.186170548390969e-06;3.5068417436895437e-09;4.124800449652353e-09;1.627628540737686e-07;6.67447076481835e-06;2.8639280463566464e-09;1.3910183884897032e-07;3.837101593930185e-06;1.0033420239730948e-07;7.049303556073624e-08;1.419251273077455e-08;5.548600906003461e-08;4.517127532046825e-05;1.2975536592903941e-09;1.3263571697850511e-11;8.946743391492092e-09;3.093792791362048e-11;3.8878762006059384e-11;2.662930587677478e-10;1.7868325439979412e-08;1.068361628144071e-10;6.395964549297e-10;1.6833871777744682e-08;5.2724903136486695e-09;7.302082169641545e-10;4.614721582551183e-10;3.4771409954740275e-10;0.02861722055344627;145.55647369531428;3576.775523;144.9;12.037441588643327;-19.016226308690023;12.037441588643327;-12.037441588643327;;
3506.5103337602372;3504.9282644789578;3509.752407086536;0.002288114989958172;8.429511100683313e-06;2.5580202011693355e-09;3.7228478310797026e-06;5.439581654390058e-09;7.536781909556507e-08;2.9017943706303992e-08;7.085367151525287e-07;2.393546955485493e-08;3.104732221139882e-08;1.1396169415855136e-06;9.136567358365408e-08;3.715214072501412e-08;2.6996410544083007e-07;3.319925305078296e-08;6.143861270007499e-06;0.007216231093871796;5.730232766769871e-05;5.457210510394935e-09;1.0438818017460366e-05;2.2278351383101917e-08;2.8090082150119717e-07;9.103658864307396e-08;2.1574069481571806e-06;9.599153157039639e-08;1.5238955829954152e-07;3.424207700075169e-06;2.29945658053489e-06;1.352730239405867e-07;3.974371263516086e-08;0.00013684766378384627;7.746288899671943e-05;8.429966529355466e-09;2.1467226698668698e-11;1.8889447588908413e-08;3.047673757827192e-11;7.234921452869814e-11;6.805932424458083e-10;2.482399048062036e-08;9.197635535693737e-10;7.716663389941427e-10;2.9333030402762388e-08;2.8085424064002212e-08;1.4166237121529144e-09;4.1616553266660723e-10;9.650067794069863e-09;8.064763635387858e-10;0.00024971268353524584;8.012347079177355e-07;3.473670785281054e-10;2.08244235053753e-07;7.071696420871269e-10;1.0223145441001154e-08;1.545009520826551e-09;1.1006981557257025e-07;2.4640359195053577e-09;5.5035104429602086e-09;1.2219576722026686e-07;2.0084568008138553e-08;1.538949193950364e-08;3.7216482477595843e-09;2.322864986107304e-08;0.01871171457740108;1.5099040024758747e-07;6.341204641688549e-10;2.1971851666159387e-06;3.5248004176511403e-09;4.124838231948652e-09;1.644156707276273e-07;6.7313359942105344e-06;2.8778403435474223e-09;1.404736009888613e-07;3.879050414052078e-06;1.0120032396192008e-07;7.087378955645876e-08;1.4320163118161987e-08;5.556936558407686e-08;4.5602330963816725e-05;1.300401587090472e-09;1.3314458110580753e-11;8.98232173616143e-09;3.1060167981813866e-11;3.8880740828585385e-11;2.6813887213028367e-10;1.7978357226921717e-08;1.072454452310009e-10;6.440176926762112e-10;1.696800442787838e-08;5.305223156776619e-09;7.331534859693439e-10;4.6435089805819267e-10;3.481846761606952e-10;0.028837894003184563;145.556694368764;3576.725691;132.9;11.52822622956368;-31.034280813369946;11.52822622956368;-11.52822622956368;;
3506.6565740067304;3505.074504725451;3509.898647333029;0.0022832614414618063;8.390624111890323e-06;2.5520393281891965e-09;3.714846766468604e-06;5.425730972755556e-09;7.497460900851948e-08;2.8954078884360446e-08;7.069827979008849e-07;2.3879754724371364e-08;3.097888274211076e-08;1.1371132583228882e-06;9.09246277533708e-08;3.7070301798358226e-08;2.691274477668098e-07;3.3128149081448844e-08;6.155654251591064e-06;0.007195786240603319;5.672848983070682e-05;5.438031842806814e-09;1.0405295802165874e-05;2.2195640577302015e-08;2.7791588181819664e-07;9.07658046066961e-08;2.1510123776553864e-06;9.566252147664729e-08;1.5193552193293517e-07;3.4140357117286934e-06;2.261656449228064e-06;1.3487296777378128e-07;3.962506558262088e-08;0.00013625841668290137;7.768036081181062e-05;8.441664809752773e-09;2.1511870519494914e-11;1.8922054901838166e-08;3.0541732319480834e-11;7.243754994194608e-11;6.824573197341225e-10;2.4889308444091567e-08;9.217748289258487e-10;7.736892976236948e-10;2.9411528477519986e-08;2.8389511138213765e-08;1.4201596584165566e-09;4.1704510937517595e-10;9.6740957835024e-09;8.072695473985806e-10;0.0002488689684408755;7.937781337207024e-07;3.452961295564908e-10;2.0731208935836942e-07;7.030224129811415e-10;1.0329708090934913e-08;1.5396370846222508e-09;1.0966629003890444e-07;2.4499726281967685e-09;5.4832722750146425e-09;1.2175644282594697e-07;2.0011081896838245e-08;1.5306577518619245e-08;3.7093062176028434e-09;2.330850549856731e-08;0.018964108636271806;1.514220305639728e-07;6.371706031614281e-10;2.2082826199186007e-06;3.5428975653934063e-09;4.125051635812784e-09;1.6609385037676382e-07;6.788920454230767e-06;2.8918541026459772e-09;1.4186574325917737e-07;3.921689744328501e-06;1.0207764942220408e-07;7.12576424051626e-08;1.4449515225250654e-08;5.565291009792514e-08;4.6039576985489346e-05;1.303259124973785e-09;1.336563868066333e-11;9.018111812571454e-09;3.1183136952704175e-11;3.888395246337707e-11;2.7000392706945794e-10;1.8089402024654194e-08;1.0765708144578549e-10;6.484849057822625e-10;1.7103744990173025e-08;5.338258624124137e-09;7.361166444541024e-10;4.672564387763364e-10;3.486562108377807e-10;0.029063611777577766;145.5569200865384;3576.675481;140.1;11.836384583140243;-23.852554269127552;11.836384583140243;-11.836384583140243;;
3506.8028142532235;3505.220744971944;3510.0448875795223;0.0022784233140626204;8.352004855326421e-06;2.5460794187389734e-09;3.706871078095168e-06;5.411933392081285e-09;7.458446629530754e-08;2.889042457458097e-08;7.054339828619051e-07;2.3824233964702497e-08;3.0910669234340944e-08;1.1346178130828532e-06;9.048693449680014e-08;3.698873285790652e-08;2.682947462479508e-07;3.305727031192239e-08;6.168166899677239e-06;0.007175428088923431;5.616310181864121e-05;5.41895499902113e-09;1.0371933201770556e-05;2.211339024979648e-08;2.7497760428482143e-07;9.049622600212395e-08;2.14464615589039e-06;9.533520266877339e-08;1.5148351043147763e-07;3.4039089471496492e-06;2.224557826688794e-06;1.344746742351723e-07;3.950694858359269e-08;0.00013559704638445717;7.789874848823942e-05;8.453387461838342e-09;2.155665373799058e-11;1.8954746954823225e-08;3.0606935385680424e-11;7.252604721295498e-11;6.843290557369898e-10;2.4954884087194783e-08;9.237927043752383e-10;7.757202113901016e-10;2.9490341737719435e-08;2.8698601053112817e-08;1.4237087803357818e-09;4.1792747670661334e-10;9.698210873255073e-09;8.080639017335801e-10;0.0002480295138930806;7.865866896245239e-07;3.432438008405731e-10;2.063870592233349e-07;6.98912026295282e-10;1.04380024512447e-08;1.5342925654352408e-09;1.0926497186532626e-07;2.4360290946026213e-09;5.463145268373033e-09;1.2131947887673076e-07;1.9937991109321086e-08;1.522433365098367e-08;3.6970237828519227e-09;2.338877622174212e-08;0.019221628823461113;1.5185552449393122e-07;6.402429020838977e-10;2.219463734636619e-06;3.5611346156991257e-09;4.125436869198344e-09;1.6779791606342502e-07;6.847236138975367e-06;2.905970311094583e-09;1.4327867113840796e-07;3.965034797186822e-06;1.0296637169010104e-07;7.164462787587749e-08;1.458059873923129e-08;5.573664316728567e-08;4.648313230659057e-05;1.3061263171747486e-09;1.3417115685211723e-11;9.054115296712175e-09;3.130684065540099e-11;3.888850490330277e-11;2.718884917283224e-10;1.8201472225227927e-08;1.0807108952223226e-10;6.529987335380933e-10;1.724111924060356e-08;5.371600418242218e-09;7.390978378585593e-10;4.701891113249869e-10;3.49128706186639e-10;0.029294509517683056;145.5571509842785;3576.625653;149.1;12.21065108829173;-14.870770222652055;12.21065108829173;-12.21065108829173;;
3506.9490544997166;3505.366985218437;3510.1911278260154;0.002273600542523634;8.313650885650333e-06;2.540140374900766e-09;3.698920660257628e-06;5.398188639953897e-09;7.419735923705271e-08;2.8826979853200615e-08;7.038902477408597e-07;2.376890637664443e-08;3.084268069484483e-08;1.1321305697794672e-06;9.005255884592588e-08;3.6907432717952637e-08;2.674659756126448e-07;3.2986615804274945e-08;6.1814062980224485e-06;0.007155156149629708;5.560600107503931e-05;5.399979253812967e-09;1.033872921422055e-05;2.20315969841479e-08;2.7208504764569965e-07;9.022784569059312e-08;2.138308115770304e-06;9.500956353606464e-08;1.510335117802473e-07;3.3938271388576742e-06;2.1881567852758387e-06;1.340781330307703e-07;3.938935848811023e-08;0.000134865271413811;7.811805716901674e-05;8.465134553387156e-09;2.1601576935062342e-11;1.8987524054595527e-08;3.0672347668928147e-11;7.261470673734404e-11;6.862084924116804e-10;2.502071876466687e-08;9.258172088083642e-10;7.777591220048112e-10;2.956947187117087e-08;2.901280353533359e-08;1.4272711430480752e-09;4.1881264647488244e-10;9.722413470619582e-09;8.088594288473687e-10;0.0002471942913095637;7.796540987909342e-07;3.4120986795964957e-10;2.0546906918183644e-07;6.948380411941112e-10;1.0548067046651148e-08;1.5289757705699388e-09;1.0886584503722859e-07;2.42220396618951e-09;5.443128612384546e-09;1.2088485852530726e-07;1.9865292868293206e-08;1.514275309857565e-08;3.6848005708867395e-09;2.3469464925626407e-08;0.019484414478309304;1.522908928194857e-07;6.433375770485664e-10;2.2307293473553413e-06;3.579513015842686e-09;4.125990263264752e-09;1.6952840442630183e-07;6.906295289482373e-06;2.9201899683577575e-09;1.4471280023326967e-07;4.009101205559093e-06;1.0386668781898409e-07;7.20347801994128e-08;1.471344397711846e-08;5.582056535999437e-08;4.693311871323521e-05;1.3090032081874756e-09;1.3468891423466952e-11;9.0903338811146e-09;3.143128497761131e-11;3.8894486698954214e-11;2.7379283893307264e-10;1.831458040948265e-08;1.0848748769722888e-10;6.575598263777864e-10;1.7380153473185807e-08;5.4052522978596044e-09;7.420972131064835e-10;4.731492516978468e-10;3.4960216482414884e-10;0.02953072768447745;145.5573872024453;3576.575826;159.0;12.609520212918492;-4.989067173243711;12.609520212918492;-12.609520212918492;;
